Sample,Station ,Cast,Depth ,Filter ,OxygenGroup,Oxygen,Oxygen2,Size Fraction,Salinity,Temperature,Nitrate,Group,Nitrite,Ammonium,Chl-a
s2_Stn2Cast55120m02um,2,55,120,0.2,2,-0.73,0,1,34.7577,13.6934,27.27729686,2,0.54,14.61,4.12E-01
s2_Stn2Cast55120m2um,2,55,120,2,2,-0.73,0,2,34.7577,13.6934,27.27729686,2,0.54,14.61,4.12E-01
s2_Stn2Cast55120m22um,2,55,120,22,2,-0.73,0,3,34.7577,13.6934,27.27729686,2,0.54,14.61,4.12E-01
s2_Stn3Cast9370m02um,3,93,70,0.2,2,-0.714,0,1,34.7677,15.3996,25.77273705,2,2.16,4.87,1.27E+00
s2_Stn3Cast9370m2um,3,93,70,2,2,-0.714,0,2,34.7677,15.3996,25.77273705,2,2.16,4.87,1.27E+00
s2_Stn3Cast9370m22um,3,93,70,22,2,-0.714,0,3,34.7677,15.3996,25.77273705,2,2.16,4.87,1.27E+00
s3_Stn3Cast7245m02um,3,72,45,0.2,2,-0.445,0,1,34.7023,16.1866,24.64951422,2,0.19,3.38,2.96E+00
s3_Stn3Cast7245m2um,3,72,45,2,2,-0.445,0,2,34.7023,16.1866,24.64951422,2,0.19,3.38,2.96E+00
s3_Stn3Cast7245m22um,3,72,45,22,2,-0.445,0,3,34.7023,16.1866,24.64951422,2,0.19,3.38,2.96E+00
s2_Stn1Cast14110m02um,1,14,110,0.2,2,-0.33,0,1,34.7803,13.5411,29.9025073,2,0.03,2.14,1.27E+00
s2_Stn1Cast14110m2um,1,14,110,2,2,-0.33,0,2,34.7803,13.5411,29.9025073,2,0.03,2.14,1.27E+00
s2_Stn1Cast14110m22um,1,14,110,22,2,-0.33,0,3,34.7803,13.5411,29.9025073,2,0.03,2.14,1.27E+00
s3_Stn2Cast47113m02um,2,47,113,0.2,2,0.237,-0.625251654,1,34.7163,15.3675,27.12785582,2,0,8.44,7.20E-01
s3_Stn2Cast47113m2um,2,47,113,2,2,0.237,-0.625251654,2,34.7163,15.3675,27.12785582,2,0,8.44,7.20E-01
s3_Stn2Cast47113m22um,2,47,113,22,2,0.237,-0.625251654,3,34.7163,15.3675,27.12785582,2,0,8.44,7.20E-01
s3_Stn1Cast683m02um,1,6,83,0.2,2,0.26,-0.585026652,1,34.714,15.5559,29.50687358,2,0.04,1.72,3.20E+00
s3_Stn1Cast683m2um,1,6,83,2,2,0.26,-0.585026652,2,34.714,15.5559,29.50687358,2,0.04,1.72,3.20E+00
s3_Stn1Cast683m22um,1,6,83,22,2,0.26,-0.585026652,3,34.714,15.5559,29.50687358,2,0.04,1.72,3.20E+00
s1_Stn1Cast6120m02um,1,6,120,0.2,2,0.34,-0.468521083,1,34.8018,12.8816,30.74610301,2,0,3.56,9.44E-01
s1_Stn1Cast6120m2um,1,6,120,2,2,0.34,-0.468521083,2,34.8018,12.8816,30.74610301,2,0,3.56,9.44E-01
s1_Stn1Cast6120m22um,1,6,120,22,2,0.34,-0.468521083,3,34.8018,12.8816,30.74610301,2,0,3.56,9.44E-01
s5_Stn3Cast7633m02um,3,76,33,0.2,3,1.288,0.109915863,1,34.6794,16.9269,25.91761903,2,0.11,4.55,4.25E+00
s5_Stn3Cast7633m2um,3,76,33,2,3,1.288,0.109915863,2,34.6794,16.9269,25.91761903,2,0.11,4.55,4.25E+00
s5_Stn3Cast7633m22um,3,76,33,22,3,1.288,0.109915863,3,34.6794,16.9269,25.91761903,2,0.11,4.55,4.25E+00
s1_Stn2Cast59900m02um,2,59,900,0.2,1,2.019,0.305136319,1,34.5419,5.0259,45.88333307,3,0,1.11,0.00E+00
s1_Stn2Cast59900m2um,2,59,900,2,1,2.019,0.305136319,2,34.5419,5.0259,45.88333307,3,0,1.11,0.00E+00
s1_Stn2Cast59900m22um,2,59,900,22,1,2.019,0.305136319,3,34.5419,5.0259,45.88333307,3,0,1.11,0.00E+00
s4_Stn2Cast3190m02um,2,31,90,0.2,3,4,0.602059991,1,34.6375,16.6882,26.64789895,2,0.06,9.21,4.25E+00
s4_Stn2Cast3190m2um,2,31,90,2,3,4,0.602059991,2,34.6375,16.6882,26.64789895,2,0.06,9.21,4.25E+00
s4_Stn2Cast3190m22um,2,31,90,22,3,4,0.602059991,3,34.6375,16.6882,26.64789895,2,0.06,9.21,4.25E+00
s1_Stn3Cast811000m02um,3,81,1000,0.2,1,8.616,0.93530569,1,34.5579,4.738,31.49601288,3,0,5.56,0.00E+00
s1_Stn3Cast811000m2um,3,81,1000,2,1,8.616,0.93530569,2,34.5579,4.738,31.49601288,3,0,5.56,0.00E+00
s1_Stn3Cast811000m22um,3,81,1000,22,1,8.616,0.93530569,3,34.5579,4.738,31.49601288,3,0,5.56,0.00E+00
s4_Stn1Cast1470m02um,1,14,70,0.2,3,17.357,1.239474663,1,34.6098,17.9214,18.73363904,2,0.28,3.98,8.92E-01
s4_Stn1Cast1470m2um,1,14,70,2,3,17.357,1.239474663,2,34.6098,17.9214,18.73363904,2,0.28,3.98,8.92E-01
s4_Stn1Cast1470m22um,1,14,70,22,3,17.357,1.239474663,3,34.6098,17.9214,18.73363904,2,0.28,3.98,8.92E-01
s4_Stn3Cast9740m02um,3,97,40,0.2,3,18.62,1.269979677,1,34.6141,18.172,24.98579316,2,0.31,0.01,5.02E+00
s4_Stn3Cast9740m2um,3,97,40,2,3,18.62,1.269979677,2,34.6141,18.172,24.98579316,2,0.31,0.01,5.02E+00
s4_Stn3Cast9740m22um,3,97,40,22,3,18.62,1.269979677,3,34.6141,18.172,24.98579316,2,0.31,0.01,5.02E+00
s5_Stn1Cast1840m02um,1,18,40,0.2,4,199,2.298853076,1,33.7867,27.9427,0.18865526,1,0,28.32,4.84E-01
s5_Stn1Cast1840m2um,1,18,40,2,4,199,2.298853076,2,33.7867,27.9427,0.18865526,1,0,28.32,4.84E-01
s5_Stn1Cast1840m22um,1,18,40,22,4,199,2.298853076,3,33.7867,27.9427,0.18865526,1,0,28.32,4.84E-01
s6_Stn3Cast9310m02um,3,93,10,0.2,4,200,2.301029996,1,34.6155,26.9057,3.87461777,1,0.23,525.64,1.00E+01
s6_Stn3Cast9310m2um,3,93,10,2,4,200,2.301029996,2,34.6155,26.9057,3.874618,1,0.23,525.64,1.00E+01
s6_Stn3Cast9310m22um,3,93,10,22,4,200,2.301029996,3,34.6155,26.9057,3.874618,1,0.23,525.64,1.00E+01
s5_Stn2Cast5930m02um,2,59,30,0.2,4,204,2.309630167,1,33.984,27.3433,0.04344845,1,0.01,2.58,3.18E+02
s5_Stn2Cast5930m2um,2,59,30,2,4,204,2.309630167,2,33.984,27.3433,0.04344845,1,0.01,2.58,3.18E+02
s5_Stn2Cast5930m22um,2,59,30,22,4,204,2.309630167,3,33.984,27.3433,0.04344845,1,0.01,2.58,3.18E+02